instance_id,seed_transpiler,optimization_level,layout_method,seed_simulator,shots,method,score,transpiled_depth,transpiled_size
maxcut_test,0,1,sabre,16,256,QAOA_p1,3.578125,82,140
maxcut_test,0,1,sabre,17,256,QAOA_p1,3.64453125,82,140
maxcut_test,0,1,sabre,18,256,QAOA_p1,3.5,82,140
maxcut_test,0,1,sabre,19,256,QAOA_p1,3.55078125,82,140
maxcut_test,0,1,sabre,0,1024,QAOA_p1,3.58203125,82,140
maxcut_test,0,1,sabre,1,1024,QAOA_p1,3.537109375,82,140
maxcut_test,0,1,sabre,2,1024,QAOA_p1,3.564453125,82,140
maxcut_test,0,1,sabre,3,1024,QAOA_p1,3.5302734375,82,140
maxcut_test,0,1,sabre,4,1024,QAOA_p1,3.513671875,82,140
maxcut_test,0,1,sabre,5,1024,QAOA_p1,3.4765625,82,140
maxcut_test,0,1,sabre,6,1024,QAOA_p1,3.59765625,82,140
maxcut_test,0,1,sabre,7,1024,QAOA_p1,3.5693359375,82,140
maxcut_test,0,1,sabre,8,1024,QAOA_p1,3.5595703125,82,140
maxcut_test,0,1,sabre,9,1024,QAOA_p1,3.515625,82,140
maxcut_test,0,1,sabre,10,1024,QAOA_p1,3.548828125,82,140
maxcut_test,0,1,sabre,11,1024,QAOA_p1,3.5869140625,82,140
maxcut_test,0,1,sabre,12,1024,QAOA_p1,3.4453125,82,140
maxcut_test,0,1,sabre,13,1024,QAOA_p1,3.494140625,82,140
maxcut_test,0,1,sabre,14,1024,QAOA_p1,3.546875,82,140
maxcut_test,0,1,sabre,15,1024,QAOA_p1,3.5322265625,82,140
maxcut_test,0,1,sabre,16,1024,QAOA_p1,3.5302734375,82,140
maxcut_test,0,1,sabre,17,1024,QAOA_p1,3.5712890625,82,140
maxcut_test,0,1,sabre,18,1024,QAOA_p1,3.5146484375,82,140
maxcut_test,0,1,sabre,19,1024,QAOA_p1,3.552734375,82,140
maxcut_test,0,1,sabre,0,16,QAOA_p2,3.125,131,232
maxcut_test,0,1,sabre,1,16,QAOA_p2,3.25,131,232
maxcut_test,0,1,sabre,2,16,QAOA_p2,3.375,131,232
maxcut_test,0,1,sabre,3,16,QAOA_p2,3.1875,131,232
maxcut_test,0,1,sabre,4,16,QAOA_p2,3.125,131,232
maxcut_test,0,1,sabre,5,16,QAOA_p2,3.125,131,232
maxcut_test,0,1,sabre,6,16,QAOA_p2,3.5,131,232
maxcut_test,0,1,sabre,7,16,QAOA_p2,2.8125,131,232
maxcut_test,0,1,sabre,8,16,QAOA_p2,3.375,131,232
maxcut_test,0,1,sabre,9,16,QAOA_p2,2.8125,131,232
maxcut_test,0,1,sabre,10,16,QAOA_p2,3.625,131,232
maxcut_test,0,1,sabre,11,16,QAOA_p2,3.0625,131,232
maxcut_test,0,1,sabre,12,16,QAOA_p2,3.125,131,232
maxcut_test,0,1,sabre,13,16,QAOA_p2,3.125,131,232
maxcut_test,0,1,sabre,14,16,QAOA_p2,3.3125,131,232
maxcut_test,0,1,sabre,15,16,QAOA_p2,3.4375,131,232
maxcut_test,0,1,sabre,16,16,QAOA_p2,3.375,131,232
maxcut_test,0,1,sabre,17,16,QAOA_p2,3.25,131,232
maxcut_test,0,1,sabre,18,16,QAOA_p2,3.0,131,232
maxcut_test,0,1,sabre,19,16,QAOA_p2,3.25,131,232
maxcut_test,0,1,sabre,0,32,QAOA_p2,3.375,131,232
maxcut_test,0,1,sabre,1,32,QAOA_p2,3.15625,131,232
maxcut_test,0,1,sabre,2,32,QAOA_p2,3.21875,131,232
maxcut_test,0,1,sabre,3,32,QAOA_p2,3.09375,131,232
maxcut_test,0,1,sabre,4,32,QAOA_p2,3.15625,131,232
maxcut_test,0,1,sabre,5,32,QAOA_p2,2.84375,131,232
maxcut_test,0,1,sabre,6,32,QAOA_p2,3.25,131,232
maxcut_test,0,1,sabre,7,32,QAOA_p2,2.96875,131,232
maxcut_test,0,1,sabre,8,32,QAOA_p2,3.46875,131,232
maxcut_test,0,1,sabre,9,32,QAOA_p2,2.875,131,232
maxcut_test,0,1,sabre,10,32,QAOA_p2,3.4375,131,232
maxcut_test,0,1,sabre,11,32,QAOA_p2,3.125,131,232
maxcut_test,0,1,sabre,12,32,QAOA_p2,3.15625,131,232
maxcut_test,0,1,sabre,13,32,QAOA_p2,2.9375,131,232
maxcut_test,0,1,sabre,14,32,QAOA_p2,3.1875,131,232
maxcut_test,0,1,sabre,15,32,QAOA_p2,3.375,131,232
maxcut_test,0,1,sabre,16,32,QAOA_p2,3.5,131,232
maxcut_test,0,1,sabre,17,32,QAOA_p2,3.3125,131,232
maxcut_test,0,1,sabre,18,32,QAOA_p2,3.0625,131,232
maxcut_test,0,1,sabre,19,32,QAOA_p2,3.0,131,232
maxcut_test,0,1,sabre,0,64,QAOA_p2,3.40625,131,232
maxcut_test,0,1,sabre,1,64,QAOA_p2,3.1875,131,232
maxcut_test,0,1,sabre,2,64,QAOA_p2,3.328125,131,232
maxcut_test,0,1,sabre,3,64,QAOA_p2,3.203125,131,232
maxcut_test,0,1,sabre,4,64,QAOA_p2,3.203125,131,232
maxcut_test,0,1,sabre,5,64,QAOA_p2,3.0,131,232
maxcut_test,0,1,sabre,6,64,QAOA_p2,3.109375,131,232
maxcut_test,0,1,sabre,7,64,QAOA_p2,3.1875,131,232
maxcut_test,0,1,sabre,8,64,QAOA_p2,3.203125,131,232
maxcut_test,0,1,sabre,9,64,QAOA_p2,3.15625,131,232
maxcut_test,0,1,sabre,10,64,QAOA_p2,3.390625,131,232
maxcut_test,0,1,sabre,11,64,QAOA_p2,3.203125,131,232
maxcut_test,0,1,sabre,12,64,QAOA_p2,3.109375,131,232
maxcut_test,0,1,sabre,13,64,QAOA_p2,2.90625,131,232
maxcut_test,0,1,sabre,14,64,QAOA_p2,3.328125,131,232
maxcut_test,0,1,sabre,15,64,QAOA_p2,3.328125,131,232
maxcut_test,0,1,sabre,16,64,QAOA_p2,3.46875,131,232
maxcut_test,0,1,sabre,17,64,QAOA_p2,3.265625,131,232
maxcut_test,0,1,sabre,18,64,QAOA_p2,3.265625,131,232
maxcut_test,0,1,sabre,19,64,QAOA_p2,2.90625,131,232
maxcut_test,0,1,sabre,0,256,QAOA_p2,3.21484375,131,232
