suite,space_preset,instance_id,seed_transpiler,optimization_level,layout_method,seed_simulator,shots,method,score,transpiled_depth,transpiled_size
day2_large,compilation_only,ring6,7,2,trivial,0,1024,QAOA_p1,3.0625,41,89
day2_large,compilation_only,ring6,7,2,sabre,0,1024,QAOA_p1,3.064453125,47,109
day2_large,compilation_only,ring6,7,3,trivial,0,1024,QAOA_p1,3.0625,41,89
day2_large,compilation_only,ring6,7,3,sabre,0,1024,QAOA_p1,3.064453125,47,109
day2_large,compilation_only,ring6,8,0,trivial,0,1024,QAOA_p1,3.10546875,38,84
day2_large,compilation_only,ring6,8,0,sabre,0,1024,QAOA_p1,3.16015625,41,84
day2_large,compilation_only,ring6,8,1,trivial,0,1024,QAOA_p1,3.10546875,38,84
day2_large,compilation_only,ring6,8,1,sabre,0,1024,QAOA_p1,3.16015625,41,84
day2_large,compilation_only,ring6,8,2,trivial,0,1024,QAOA_p1,3.10546875,38,89
day2_large,compilation_only,ring6,8,2,sabre,0,1024,QAOA_p1,3.16015625,46,97
day2_large,compilation_only,ring6,8,3,trivial,0,1024,QAOA_p1,3.10546875,38,89
day2_large,compilation_only,ring6,8,3,sabre,0,1024,QAOA_p1,3.16015625,46,97
day2_large,compilation_only,ring6,9,0,trivial,0,1024,QAOA_p1,3.0625,35,84
day2_large,compilation_only,ring6,9,0,sabre,0,1024,QAOA_p1,3.0625,35,84
day2_large,compilation_only,ring6,9,1,trivial,0,1024,QAOA_p1,3.0625,35,84
day2_large,compilation_only,ring6,9,1,sabre,0,1024,QAOA_p1,3.0625,35,84
day2_large,compilation_only,ring6,9,2,trivial,0,1024,QAOA_p1,3.0625,35,89
day2_large,compilation_only,ring6,9,2,sabre,0,1024,QAOA_p1,3.0625,33,87
day2_large,compilation_only,ring6,9,3,trivial,0,1024,QAOA_p1,3.0625,35,89
day2_large,compilation_only,ring6,9,3,sabre,0,1024,QAOA_p1,3.0625,33,87
day2_large,compilation_only,ring6,0,0,trivial,0,1024,QAOA_p2,3.07421875,78,153
day2_large,compilation_only,ring6,0,0,sabre,0,1024,QAOA_p2,3.015625,84,147
day2_large,compilation_only,ring6,0,1,trivial,0,1024,QAOA_p2,3.095703125,79,148
